order_id,user_id,restaurant_id,city,order_timestamp,items_ordered,total_value,payment_mode,was_late,rating_given,discount_applied
ORD000019,U0345,R0041,Pune,2023-10-08 12:39:00,"ITM00771,ITM00763,ITM00768,ITM00762",686,UPI,False,5.0,0
ORD000020,U0292,R0081,Surat,2023-11-13 17:22:00,"ITM01513,ITM01523,ITM01527",527,COD,False,4.0,0
ORD000021,U0636,R0002,Pune,2023-07-17 22:02:00,"ITM00039,ITM00035,ITM00043",347,UPI,False,5.0,0
ORD000022,U0319,R0403,Bangalore,2023-11-04 14:05:00,"ITM07376,ITM07384",248,COD,False,5.0,0
ORD000023,U0649,R0019,Kochi,2024-06-04 20:24:00,"ITM00346,ITM00352",668,UPI,False,,0
ORD000024,U0881,R0065,Hyderabad,2024-11-14 07:01:00,ITM01222,199,UPI,False,5.0,0
ORD000025,U0205,R0187,Hyderabad,2024-01-28 21:39:00,ITM03381,59,UPI,False,5.0,33
ORD000026,U0768,R0400,Surat,2023-02-06 08:15:00,ITM07339,199,Card,False,5.0,0
ORD000027,U0392,R0347,Mumbai,2024-03-19 23:38:00,"ITM06367,ITM06358,ITM06352",357,UPI,False,,0
ORD000028,U0178,R0461,Bangalore,2024-08-06 14:14:00,ITM08378,79,COD,False,4.0,78
ORD000029,U0393,R0428,Surat,2024-08-05 21:05:00,"ITM07817,ITM07811,ITM07814",807,Wallet,False,4.0,0
ORD000030,U0641,R0075,Chandigarh,2024-09-15 19:53:00,ITM01404,189,Card,False,5.0,0
ORD000031,U0813,R0436,Pune,2023-11-09 20:17:00,"ITM07954,ITM07956",658,UPI,False,5.0,0
ORD000032,U0647,R0205,Lucknow,2023-10-29 12:24:00,"ITM03703,ITM03702,ITM03704",397,Card,False,,0
ORD000033,U0435,R0353,Hyderabad,2024-06-08 18:12:00,"ITM06480,ITM06477,ITM06479,ITM06476",526,COD,False,5.0,0
ORD000034,U0420,R0126,Kochi,2023-07-26 21:43:00,"ITM02322,ITM02326",398,COD,True,3.0,0
ORD000035,U0552,R0489,Chandigarh,2023-09-01 21:13:00,"ITM08917,ITM08913",398,UPI,False,5.0,0
ORD000036,U0380,R0008,Pune,2024-06-23 22:27:00,ITM00149,129,UPI,False,5.0,0
ORD000037,U0261,R0247,Delhi,2024-06-03 15:49:00,"ITM04464,ITM04459,ITM04466,ITM04469,ITM04461",945,Card,False,5.0,0
ORD000038,U0832,R0253,Mumbai,2023-06-29 21:15:00,"ITM04569,ITM04577",218,Card,True,3.0,0
ORD000039,U0576,R0168,Surat,2024-01-28 13:35:00,ITM03040,429,UPI,False,,0
ORD000040,U0338,R0218,Bangalore,2023-01-22 22:17:00,"ITM03917,ITM03926",458,UPI,False,4.0,0
ORD000041,U0349,R0295,Hyderabad,2024-08-14 17:10:00,"ITM05374,ITM05376",238,UPI,False,5.0,0
ORD000042,U0649,R0365,Kochi,2024-09-28 21:38:00,ITM06716,349,Card,False,5.0,0
ORD000043,U0901,R0122,Bangalore,2024-10-08 12:15:00,ITM02246,559,Wallet,True,3.0,0
ORD000044,U0438,R0176,Mumbai,2023-10-18 21:13:00,"ITM03184,ITM03188,ITM03198",517,UPI,False,5.0,0
ORD000045,U0616,R0074,Hyderabad,2024-04-26 15:21:00,"ITM01389,ITM01387",298,UPI,False,4.0,0
ORD000046,U0265,R0042,Lucknow,2023-05-08 20:00:00,"ITM00781,ITM00780",198,Card,False,4.0,0
ORD000047,U0781,R0411,Delhi,2023-10-08 20:35:00,"ITM07511,ITM07516,ITM07505,ITM07510",1206,UPI,False,5.0,68
ORD000048,U0218,R0396,Mumbai,2023-10-19 10:42:00,"ITM07269,ITM07273,ITM07270",447,UPI,False,5.0,0
ORD000049,U0529,R0128,Delhi,2024-03-16 15:37:00,"ITM02356,ITM02362,ITM02357,ITM02361,ITM02363",745,Card,False,5.0,0
ORD000050,U0626,R0372,Pune,2024-04-12 07:26:00,"ITM06830,ITM06829",178,COD,False,5.0,0
ORD000051,U0110,R0402,Chandigarh,2024-12-18 19:55:00,ITM07372,309,Wallet,False,,65
ORD000052,U0599,R0023,Surat,2023-03-29 21:39:00,ITM00418,279,UPI,False,5.0,0
ORD000053,U0930,R0324,Mumbai,2023-03-24 19:48:00,"ITM05927,ITM05929",168,Wallet,False,,0
ORD000054,U0221,R0309,Mumbai,2024-04-03 19:21:00,"ITM05633,ITM05642",308,UPI,False,5.0,71
ORD000055,U0850,R0411,Delhi,2024-03-04 15:46:00,"ITM07505,ITM07501",328,COD,True,,0
ORD000056,U0334,R0250,Hyderabad,2024-10-30 21:04:00,ITM04516,169,UPI,False,5.0,0
ORD000057,U0746,R0477,Surat,2023-01-21 19:24:00,"ITM08686,ITM08681,ITM08688",177,Card,False,,0
ORD000058,U0504,R0072,Hyderabad,2023-09-25 20:13:00,ITM01356,79,UPI,True,2.0,0
ORD000059,U0711,R0118,Lucknow,2024-01-12 23:36:00,"ITM02176,ITM02183,ITM02167,ITM02166",616,Card,False,5.0,0
ORD000060,U0336,R0199,Lucknow,2023-10-12 21:48:00,ITM03606,469,UPI,True,,0
ORD000061,U0932,R0099,Chandigarh,2024-10-23 21:50:00,"ITM01834,ITM01833,ITM01849",597,COD,False,,0
ORD000062,U0419,R0033,Jaipur,2024-12-25 13:31:00,ITM00609,479,UPI,False,5.0,0
ORD000063,U0319,R0011,Bangalore,2023-05-19 14:57:00,ITM00191,79,UPI,False,4.0,0
ORD000064,U0815,R0409,Mumbai,2023-03-15 22:53:00,"ITM07481,ITM07474,ITM07485",717,COD,False,5.0,0
ORD000065,U0550,R0246,Chandigarh,2023-12-06 15:07:00,ITM04447,399,UPI,False,5.0,0
ORD000066,U0982,R0008,Pune,2023-05-14 14:03:00,"ITM00149,ITM00145",188,Wallet,True,,0
ORD000067,U0883,R0042,Lucknow,2024-07-05 09:55:00,"ITM00781,ITM00784",108,Card,False,5.0,0
ORD000068,U0503,R0407,Jaipur,2023-06-26 15:55:00,"ITM07454,ITM07453",298,UPI,False,5.0,0
ORD000069,U0527,R0243,Mumbai,2024-10-06 22:48:00,"ITM04396,ITM04408,ITM04394",377,Card,False,,0
ORD000070,U0775,R0234,Mumbai,2024-06-13 14:36:00,"ITM04238,ITM04232",558,Card,False,4.0,0
ORD000071,U0777,R0426,Delhi,2024-07-26 16:42:00,ITM07768,339,UPI,False,,0
ORD000072,U0395,R0122,Bangalore,2023-11-27 21:14:00,ITM02258,229,Card,True,1.0,0
ORD000073,U0738,R0129,Hyderabad,2023-01-23 19:54:00,"ITM02382,ITM02367",548,Card,False,4.0,0
ORD000074,U0450,R0236,Delhi,2024-09-07 17:05:00,"ITM04263,ITM04270,ITM04273",297,UPI,False,,0
ORD000075,U0991,R0177,Jaipur,2023-01-02 21:41:00,"ITM03216,ITM03206,ITM03205,ITM03203",696,UPI,False,5.0,0
ORD000076,U0881,R0455,Hyderabad,2023-05-31 10:29:00,ITM08280,99,Wallet,False,,0
ORD000077,U0359,R0343,Jaipur,2024-05-01 12:57:00,"ITM06291,ITM06292",228,UPI,False,4.0,0
ORD000078,U0397,R0197,Delhi,2024-02-29 08:03:00,ITM03554,229,UPI,False,,0
ORD000079,U0969,R0126,Kochi,2024-03-08 08:16:00,"ITM02335,ITM02333",318,UPI,False,5.0,0
ORD000080,U0697,R0233,Pune,2023-08-05 14:25:00,"ITM04210,ITM04205,ITM04215",597,COD,False,5.0,0
ORD000081,U0800,R0460,Chandigarh,2024-01-22 20:14:00,ITM08360,439,UPI,True,1.0,0
ORD000082,U0551,R0027,Chandigarh,2024-11-21 20:12:00,"ITM00495,ITM00494,ITM00492,ITM00490",336,UPI,False,4.0,0
ORD000083,U0380,R0335,Pune,2024-11-26 22:05:00,"ITM06126,ITM06121,ITM06125",467,COD,False,5.0,16
ORD000084,U0460,R0153,Delhi,2023-05-08 15:19:00,"ITM02777,ITM02781",98,COD,False,5.0,0
ORD000085,U0888,R0468,Mumbai,2024-04-17 17:56:00,ITM08509,119,UPI,False,5.0,0
ORD000086,U0178,R0375,Bangalore,2024-02-28 13:24:00,"ITM06886,ITM06876,ITM06883",607,Card,True,1.0,0
ORD000087,U0966,R0236,Delhi,2024-03-31 14:44:00,"ITM04274,ITM04278",478,Wallet,False,,0
ORD000088,U0043,R0428,Surat,2024-09-20 10:52:00,"ITM07817,ITM07814",568,Card,False,5.0,0
ORD000089,U0272,R0175,Kochi,2024-01-19 21:43:00,"ITM03171,ITM03173,ITM03169,ITM03170",806,Card,False,5.0,0
ORD000090,U0666,R0290,Hyderabad,2023-10-20 14:08:00,ITM05272,179,UPI,False,5.0,0
ORD000091,U0363,R0076,Pune,2024-04-01 23:50:00,"ITM01413,ITM01415,ITM01412,ITM01425,ITM01423",1045,UPI,False,5.0,13
ORD000092,U0986,R0268,Pune,2024-05-02 10:29:00,"ITM04861,ITM04852",578,Card,False,5.0,0
ORD000093,U0571,R0327,Pune,2023-10-16 07:16:00,"ITM05970,ITM05976",98,UPI,False,4.0,0
ORD000094,U0024,R0418,Surat,2024-03-07 10:22:00,"ITM07621,ITM07623",218,UPI,False,4.0,49
ORD000095,U0612,R0493,Mumbai,2023-12-26 08:19:00,"ITM08983,ITM08971,ITM08973",547,UPI,False,,0
ORD000096,U0091,R0075,Chandigarh,2023-11-21 22:49:00,"ITM01404,ITM01395",528,UPI,False,4.0,0
ORD000097,U0668,R0432,Bangalore,2023-08-01 19:39:00,ITM07884,219,UPI,False,,0
ORD000098,U0603,R0051,Delhi,2023-02-03 07:36:00,"ITM00970,ITM00983,ITM00985",367,Card,False,5.0,14
ORD000099,U0816,R0201,Kochi,2024-01-17 22:22:00,"ITM03640,ITM03641",408,UPI,False,5.0,0
ORD000100,U0519,R0066,Pune,2023-09-05 18:18:00,ITM01228,179,UPI,False,5.0,0
ORD000101,U0270,R0288,Mumbai,2023-09-08 18:51:00,ITM05250,79,UPI,False,,0
ORD000102,U0342,R0363,Bangalore,2024-11-03 23:23:00,"ITM06677,ITM06674",348,COD,False,,41
ORD000103,U0351,R0155,Pune,2023-07-25 18:08:00,"ITM02813,ITM02826,ITM02822",147,COD,False,5.0,65
ORD000104,U0033,R0486,Surat,2023-02-07 14:29:00,"ITM08850,ITM08857",258,Card,False,,0
ORD000105,U0030,R0392,Jaipur,2023-03-22 23:03:00,"ITM07191,ITM07196,ITM07200,ITM07197,ITM07189",1375,Card,True,,0
ORD000106,U0754,R0145,Bangalore,2023-11-12 14:52:00,"ITM02650,ITM02637,ITM02639,ITM02648",956,UPI,False,5.0,0
ORD000107,U0080,R0061,Jaipur,2024-09-06 10:53:00,ITM01140,209,UPI,False,5.0,0
ORD000108,U0083,R0287,Hyderabad,2024-07-14 12:43:00,"ITM05213,ITM05225,ITM05210",487,Card,True,2.0,0
ORD000109,U0515,R0098,Jaipur,2024-04-03 14:25:00,"ITM01810,ITM01827",178,UPI,False,5.0,0
ORD000110,U0079,R0169,Pune,2023-11-10 15:28:00,"ITM03072,ITM03064",388,UPI,False,5.0,0
ORD000111,U0946,R0059,Bangalore,2024-06-06 22:32:00,"ITM01119,ITM01116,ITM01100,ITM01118",316,UPI,True,2.0,0
ORD000112,U0685,R0319,Chandigarh,2023-10-15 22:46:00,"ITM05835,ITM05828",328,UPI,False,,0
ORD000113,U0598,R0500,Pune,2024-02-14 22:35:00,ITM09100,209,UPI,False,4.0,0
ORD000114,U0726,R0171,Bangalore,2024-01-17 20:23:00,"ITM03093,ITM03100",648,UPI,False,,61
ORD000115,U0352,R0346,Mumbai,2023-01-18 19:17:00,"ITM06341,ITM06335,ITM06337",367,UPI,True,,0
ORD000116,U0736,R0164,Mumbai,2024-12-19 20:44:00,ITM02984,89,Card,False,4.0,0
ORD000117,U0004,R0271,Hyderabad,2024-08-11 20:31:00,"ITM04911,ITM04905,ITM04910",407,Card,False,5.0,0
ORD000118,U0931,R0304,Hyderabad,2023-01-18 21:17:00,"ITM05535,ITM05544,ITM05534,ITM05549",436,UPI,True,2.0,0
ORD000119,U0697,R0474,Pune,2024-09-30 15:11:00,ITM08624,39,UPI,False,4.0,0
ORD000120,U0069,R0104,Bangalore,2023-02-26 09:04:00,"ITM01941,ITM01935",268,UPI,False,4.0,0
ORD000121,U0897,R0460,Chandigarh,2024-06-28 17:24:00,"ITM08366,ITM08358",148,COD,False,4.0,0
ORD000122,U0316,R0185,Mumbai,2023-11-11 10:55:00,"ITM03341,ITM03345,ITM03351,ITM03338,ITM03336",595,COD,False,4.0,0
ORD000123,U0219,R0094,Mumbai,2023-09-17 15:46:00,"ITM01738,ITM01749,ITM01747",427,UPI,False,5.0,74
ORD000124,U0348,R0009,Pune,2023-09-25 23:19:00,"ITM00168,ITM00158",538,UPI,False,5.0,0
ORD000125,U0848,R0058,Pune,2023-01-03 13:20:00,ITM01094,189,UPI,True,3.0,0
ORD000126,U0269,R0114,Jaipur,2023-04-16 23:59:00,"ITM02105,ITM02106,ITM02110",987,Card,False,5.0,0
ORD000127,U0895,R0069,Mumbai,2023-08-20 22:41:00,"ITM01292,ITM01291",348,Card,False,4.0,0
ORD000128,U0859,R0199,Lucknow,2023-03-26 22:26:00,"ITM03605,ITM03613,ITM03609,ITM03606",1526,Card,False,,0
ORD000129,U0318,R0348,Chandigarh,2024-05-05 21:06:00,"ITM06373,ITM06379",328,UPI,False,4.0,0
ORD000130,U0093,R0194,Mumbai,2024-01-11 07:32:00,"ITM03502,ITM03497,ITM03503",1227,UPI,True,3.0,0
ORD000131,U0193,R0317,Lucknow,2023-05-25 23:32:00,"ITM05798,ITM05805,ITM05804",1087,COD,True,2.0,0
ORD000132,U0201,R0231,Hyderabad,2024-03-04 14:34:00,"ITM04176,ITM04169",438,Card,False,,0
ORD000133,U0835,R0242,Bangalore,2023-12-24 23:39:00,"ITM04377,ITM04375,ITM04382,ITM04385",606,UPI,False,,0
ORD000134,U0959,R0219,Delhi,2024-10-15 13:44:00,"ITM03947,ITM03937,ITM03939",487,UPI,True,1.0,0
ORD000135,U0501,R0473,Lucknow,2023-12-18 19:51:00,ITM08601,119,UPI,False,,0
ORD000136,U0592,R0256,Delhi,2024-12-23 07:58:00,"ITM04622,ITM04619",258,UPI,False,4.0,0
ORD000137,U0995,R0438,Chandigarh,2024-01-20 23:23:00,"ITM07990,ITM07993,ITM07992",247,UPI,False,,0
ORD000138,U0828,R0448,Surat,2023-04-24 15:29:00,"ITM08155,ITM08162,ITM08163,ITM08171",416,Wallet,False,,0
ORD000139,U0354,R0391,Bangalore,2023-08-09 23:54:00,"ITM07182,ITM07174",478,COD,False,,0
ORD000140,U0100,R0294,Delhi,2023-08-14 09:34:00,"ITM05350,ITM05353",508,UPI,True,,0
ORD000141,U0781,R0057,Delhi,2024-07-14 19:46:00,"ITM01080,ITM01074,ITM01078,ITM01076,ITM01068",685,Card,False,,0
ORD000142,U0057,R0338,Delhi,2024-06-29 12:52:00,ITM06186,129,Wallet,False,5.0,0
ORD000143,U0887,R0267,Hyderabad,2023-07-13 14:08:00,"ITM04833,ITM04846",218,UPI,True,3.0,0
ORD000144,U0622,R0303,Kochi,2023-11-16 13:06:00,"ITM05524,ITM05518,ITM05528,ITM05529,ITM05527",1505,UPI,False,5.0,0
ORD000145,U0623,R0341,Delhi,2024-08-11 15:47:00,"ITM06242,ITM06234",118,UPI,False,4.0,16
ORD000146,U0861,R0197,Delhi,2023-06-27 12:32:00,ITM03564,79,COD,False,5.0,0
ORD000147,U0159,R0262,Pune,2023-07-17 21:05:00,"ITM04737,ITM04743,ITM04744",887,Wallet,False,4.0,0
ORD000148,U0303,R0064,Kochi,2023-04-01 20:15:00,ITM01196,79,Card,False,4.0,0
ORD000149,U0341,R0466,Mumbai,2024-01-07 08:54:00,"ITM08475,ITM08480",988,UPI,False,,0
ORD000150,U0056,R0441,Lucknow,2023-11-25 20:02:00,"ITM08039,ITM08040,ITM08045,ITM08038",716,Card,False,4.0,0
ORD000151,U0061,R0324,Mumbai,2023-10-31 19:28:00,"ITM05927,ITM05931,ITM05924,ITM05933",526,Card,False,5.0,0
ORD000152,U0546,R0057,Delhi,2024-11-18 19:57:00,"ITM01075,ITM01077",298,COD,False,4.0,0
ORD000153,U0632,R0371,Mumbai,2024-01-05 14:42:00,"ITM06808,ITM06805",288,COD,False,5.0,0
ORD000154,U0328,R0314,Kochi,2024-02-21 22:15:00,ITM05740,119,UPI,False,5.0,0
ORD000155,U0820,R0140,Jaipur,2023-11-30 14:07:00,"ITM02552,ITM02572",328,UPI,False,5.0,0
ORD000156,U0760,R0479,Jaipur,2024-09-03 19:09:00,"ITM08714,ITM08726,ITM08721",367,UPI,False,5.0,0
ORD000157,U0962,R0283,Delhi,2023-12-16 13:03:00,"ITM05128,ITM05122,ITM05136",377,COD,False,5.0,0
ORD000158,U0315,R0457,Pune,2023-03-26 07:01:00,"ITM08309,ITM08319",878,UPI,False,,0
ORD000159,U0430,R0042,Lucknow,2024-12-12 15:41:00,"ITM00781,ITM00790",178,UPI,False,5.0,0
ORD000160,U0707,R0412,Bangalore,2023-01-18 19:57:00,"ITM07528,ITM07517",458,Card,False,5.0,0
ORD000161,U0745,R0380,Jaipur,2024-10-13 20:10:00,"ITM06979,ITM06987",248,Card,False,5.0,0
ORD000162,U0257,R0136,Lucknow,2023-05-07 15:34:00,"ITM02495,ITM02497,ITM02494",527,COD,False,,0
ORD000163,U0145,R0306,Jaipur,2024-05-30 13:09:00,"ITM05578,ITM05571",248,Wallet,False,5.0,0
ORD000164,U0086,R0053,Delhi,2023-12-31 15:10:00,"ITM01013,ITM01007",218,UPI,False,5.0,0
ORD000165,U0801,R0202,Lucknow,2024-09-25 15:09:00,"ITM03651,ITM03662",208,UPI,False,4.0,0
ORD000166,U0542,R0354,Bangalore,2024-10-08 14:31:00,"ITM06496,ITM06497,ITM06486",807,UPI,False,,0
ORD000167,U0587,R0233,Pune,2023-01-04 16:22:00,"ITM04210,ITM04215,ITM04217",487,Card,False,5.0,0
ORD000168,U0236,R0171,Bangalore,2024-11-08 21:31:00,"ITM03091,ITM03098,ITM03101",557,UPI,False,,0
ORD000169,U0133,R0484,Hyderabad,2024-07-18 22:03:00,"ITM08818,ITM08828,ITM08814,ITM08821",1636,UPI,False,5.0,0
ORD000170,U0207,R0127,Bangalore,2023-05-30 12:02:00,"ITM02352,ITM02351,ITM02338",577,Card,False,5.0,0
ORD000171,U0677,R0251,Hyderabad,2023-10-01 21:39:00,"ITM04541,ITM04535,ITM04534,ITM04546,ITM04532",855,COD,False,5.0,0
ORD000172,U0753,R0091,Hyderabad,2023-09-18 20:35:00,ITM01687,389,UPI,False,,0
ORD000173,U0475,R0267,Hyderabad,2023-05-29 21:05:00,"ITM04831,ITM04840",278,Card,False,5.0,0
ORD000174,U0343,R0385,Bangalore,2023-02-15 21:43:00,ITM07066,409,UPI,False,,0
ORD000175,U0525,R0471,Bangalore,2024-10-19 19:45:00,"ITM08578,ITM08560,ITM08571",547,Card,False,4.0,0
ORD000176,U0936,R0331,Chandigarh,2023-01-17 22:02:00,"ITM06053,ITM06055",98,COD,False,,0
ORD000177,U0295,R0236,Delhi,2023-06-27 13:16:00,"ITM04265,ITM04278",418,UPI,False,4.0,0
ORD000178,U0429,R0334,Surat,2023-11-04 15:16:00,"ITM06110,ITM06103",368,UPI,False,,0
ORD000179,U0462,R0302,Kochi,2024-12-10 21:02:00,"ITM05509,ITM05500,ITM05498",277,Wallet,False,,0
ORD000180,U0736,R0469,Mumbai,2023-09-21 19:40:00,ITM08541,69,UPI,False,5.0,0
ORD000181,U0996,R0401,Lucknow,2024-03-22 23:44:00,"ITM07344,ITM07348,ITM07354,ITM07352",756,Card,False,5.0,0
ORD000182,U0210,R0044,Mumbai,2023-04-07 15:21:00,"ITM00820,ITM00826",398,UPI,False,5.0,0
ORD000183,U0862,R0461,Bangalore,2024-03-17 20:14:00,"ITM08392,ITM08379",128,Card,False,5.0,0
ORD000184,U0573,R0148,Bangalore,2024-06-27 15:46:00,"ITM02698,ITM02689,ITM02686,ITM02688",806,UPI,False,5.0,0
ORD000185,U0356,R0460,Chandigarh,2024-12-14 20:04:00,"ITM08374,ITM08364",448,COD,False,4.0,0
ORD000186,U0399,R0425,Chandigarh,2024-03-02 13:56:00,"ITM07751,ITM07755,ITM07757",227,UPI,False,4.0,0
ORD000187,U0864,R0337,Delhi,2023-04-01 07:51:00,"ITM06169,ITM06160,ITM06171",557,UPI,False,5.0,34
ORD000188,U0570,R0239,Bangalore,2023-01-10 14:30:00,ITM04323,89,UPI,False,5.0,0
ORD000189,U0284,R0339,Jaipur,2023-03-23 19:13:00,"ITM06201,ITM06207,ITM06199",287,Wallet,False,5.0,0
ORD000190,U0018,R0190,Surat,2023-12-04 19:48:00,"ITM03430,ITM03434,ITM03441,ITM03440,ITM03426",635,Card,False,5.0,42
ORD000191,U0878,R0078,Bangalore,2023-09-09 08:45:00,"ITM01461,ITM01452,ITM01450,ITM01464",736,COD,False,5.0,0
ORD000192,U0297,R0140,Jaipur,2023-03-17 07:16:00,"ITM02572,ITM02568",288,Card,False,,0
ORD000193,U0471,R0375,Bangalore,2024-01-06 13:19:00,ITM06883,49,COD,False,5.0,0
ORD000194,U0132,R0217,Bangalore,2024-08-25 21:56:00,ITM03901,239,UPI,False,,0
ORD000195,U0096,R0412,Bangalore,2024-02-23 17:13:00,"ITM07529,ITM07520",408,UPI,False,5.0,0
ORD000196,U0058,R0007,Bangalore,2023-08-15 20:42:00,"ITM00133,ITM00130",158,Card,False,5.0,0
ORD000197,U0404,R0404,Surat,2023-01-09 21:55:00,ITM07394,179,Card,False,5.0,0
ORD000198,U0778,R0271,Hyderabad,2024-02-18 22:53:00,ITM04907,269,UPI,False,5.0,0
ORD000199,U0390,R0064,Kochi,2024-08-30 13:23:00,"ITM01197,ITM01206",208,COD,False,5.0,0
ORD000200,U0962,R0261,Delhi,2023-06-12 13:45:00,ITM04727,289,UPI,False,5.0,0
ORD000201,U0923,R0153,Delhi,2023-04-24 20:09:00,ITM02781,49,UPI,False,4.0,0
ORD000202,U0383,R0156,Chandigarh,2023-02-12 22:57:00,"ITM02838,ITM02836",388,Card,False,5.0,0
ORD000203,U0527,R0285,Mumbai,2024-03-13 21:43:00,"ITM05169,ITM05171,ITM05172,ITM05175",746,UPI,False,,64
ORD000204,U0497,R0059,Bangalore,2024-10-16 23:32:00,"ITM01113,ITM01111,ITM01101",317,Card,False,4.0,0
ORD000205,U0626,R0002,Pune,2023-10-13 09:51:00,"ITM00032,ITM00036,ITM00043,ITM00044",356,Card,False,,0
ORD000206,U0565,R0127,Bangalore,2024-05-06 21:46:00,"ITM02352,ITM02339",668,UPI,False,,0
ORD000207,U0288,R0283,Delhi,2023-11-30 22:21:00,"ITM05135,ITM05136",178,UPI,False,,0
ORD000208,U0151,R0421,Surat,2023-08-25 21:40:00,ITM07696,179,UPI,False,4.0,0
ORD000209,U0084,R0178,Delhi,2023-11-27 09:43:00,"ITM03236,ITM03228,ITM03233",187,Card,False,5.0,0
ORD000210,U0338,R0351,Bangalore,2024-10-05 20:59:00,"ITM06443,ITM06436,ITM06447",617,Card,False,,0
ORD000211,U0516,R0333,Hyderabad,2024-09-29 17:17:00,"ITM06082,ITM06094,ITM06083,ITM06093",306,UPI,False,5.0,0
ORD000212,U0726,R0270,Bangalore,2023-10-11 19:43:00,ITM04893,309,COD,False,4.0,0
ORD000213,U0723,R0193,Surat,2024-06-23 17:43:00,"ITM03495,ITM03491,ITM03489",557,UPI,False,4.0,0
ORD000214,U0439,R0479,Jaipur,2023-11-27 19:53:00,"ITM08726,ITM08717,ITM08724",327,UPI,False,5.0,0
ORD000215,U0668,R0122,Bangalore,2024-09-23 22:27:00,ITM02254,129,UPI,True,2.0,52
ORD000216,U0230,R0300,Bangalore,2024-09-19 23:22:00,"ITM05470,ITM05472",158,Card,False,,0
ORD000217,U0807,R0454,Mumbai,2023-03-15 21:49:00,"ITM08262,ITM08266",188,UPI,False,5.0,0
ORD000218,U0447,R0297,Surat,2023-04-25 22:28:00,"ITM05413,ITM05414",88,Card,False,5.0,64
ORD000219,U0244,R0490,Lucknow,2023-01-09 16:36:00,"ITM08923,ITM08929",608,UPI,False,4.0,0
ORD000220,U0360,R0380,Jaipur,2023-03-04 19:25:00,"ITM06991,ITM06979",278,Card,True,1.0,0
ORD000221,U0858,R0257,Chandigarh,2023-03-29 14:36:00,"ITM04651,ITM04648,ITM04638,ITM04649",1496,UPI,False,5.0,0
ORD000222,U0668,R0182,Bangalore,2023-06-26 21:09:00,"ITM03295,ITM03292,ITM03298,ITM03289",516,UPI,False,4.0,77
ORD000223,U0288,R0277,Delhi,2023-11-09 20:30:00,"ITM05032,ITM05023",368,Card,False,5.0,0
ORD000224,U0421,R0438,Chandigarh,2023-02-19 14:27:00,ITM07990,79,UPI,False,,0
ORD000225,U0671,R0005,Pune,2023-03-26 12:17:00,"ITM00089,ITM00088",198,Card,False,4.0,0
ORD000226,U0813,R0436,Pune,2023-07-21 21:35:00,ITM07951,79,UPI,False,4.0,0
ORD000227,U0074,R0272,Chandigarh,2023-08-13 17:47:00,"ITM04921,ITM04939",268,COD,False,4.0,0
ORD000228,U0384,R0380,Jaipur,2024-02-13 22:47:00,ITM06980,49,UPI,False,5.0,0
ORD000229,U0107,R0278,Delhi,2023-12-01 21:17:00,"ITM05046,ITM05036,ITM05041",707,Card,False,5.0,0
ORD000230,U0902,R0253,Mumbai,2023-12-20 13:37:00,"ITM04574,ITM04569",208,Wallet,True,,0
